validation_mode,level,universe,ticker,window,window_weeks,start_date,end_date,strategy,final_value,total_contributed,total_invested,cash_remaining,return_on_contributed_pct,return_on_invested_pct,cagr_on_contributed_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,calmar_ratio,buy_actions,average_buy_amount
true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_052_104,52,2022-06-13,2023-06-05,fixed_weekly_dca,6185.48,5200.0,5200.0,-0.0,18.95,18.95,18.95,6.31,121.67,3.999,3.006,52,99.9
true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_052_104,52,2022-06-13,2023-06-05,simple_dip_buy,6174.37,5200.0,5046.75,153.25,18.74,22.34,18.74,5.92,121.41,4.003,3.166,52,96.96
true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_052_104,52,2022-06-13,2023-06-05,risk_adjusted_v2,6180.8,5200.0,5167.16,32.84,18.86,19.62,18.86,6.08,121.51,4.002,3.103,52,99.27
true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_70_30,6182.81,5200.0,5157.6,42.4,18.9,19.88,18.9,6.2,121.6,4.0,3.05,52,99.09
true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_80_20,6184.02,5200.0,5173.43,26.57,18.92,19.53,18.92,6.24,121.62,4.0,3.034,52,99.39
true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_052_104,52,2022-06-13,2023-06-05,trend_aware_hybrid,6186.62,5200.0,5200.0,-0.0,18.97,18.97,18.97,6.24,121.62,4.0,3.042,52,99.9
true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_052_104,52,2022-06-13,2023-06-05,fixed_weekly_dca,6616.91,5200.0,5200.0,-0.0,27.25,27.25,27.25,6.07,127.11,3.933,4.491,52,99.9
true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_052_104,52,2022-06-13,2023-06-05,simple_dip_buy,6588.44,5200.0,4959.52,240.48,26.7,32.84,26.7,5.98,126.82,3.935,4.466,52,95.28
true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_052_104,52,2022-06-13,2023-06-05,risk_adjusted_v2,6463.51,5200.0,4402.1,797.9,24.3,46.83,24.3,4.75,125.2,3.955,5.11,52,84.57
true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_70_30,6608.53,5200.0,5130.25,69.75,27.09,28.82,27.09,6.04,127.02,3.934,4.484,52,98.56
true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_80_20,6611.41,5200.0,5154.64,45.36,27.14,28.26,27.14,6.05,127.05,3.934,4.487,52,99.03
true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_052_104,52,2022-06-13,2023-06-05,trend_aware_hybrid,6617.8,5200.0,5200.0,-0.0,27.27,27.27,27.27,6.05,127.07,3.934,4.507,52,99.9
true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_052_104,52,2022-06-13,2023-06-05,fixed_weekly_dca,5783.14,5200.0,5200.0,-0.0,11.21,11.21,11.21,8.88,124.11,3.891,1.263,52,99.9
true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_052_104,52,2022-06-13,2023-06-05,simple_dip_buy,5785.78,5200.0,5028.94,171.06,11.26,15.05,11.26,8.73,123.85,3.897,1.291,52,96.61
true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_052_104,52,2022-06-13,2023-06-05,risk_adjusted_v2,5749.89,5200.0,4915.11,284.89,10.57,16.98,10.57,8.72,123.67,3.896,1.213,52,94.43
true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_70_30,5784.23,5200.0,5150.94,49.06,11.24,12.29,11.24,8.77,124.03,3.893,1.281,52,98.96
true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_80_20,5784.0,5200.0,5168.34,31.66,11.23,11.91,11.23,8.81,124.06,3.893,1.275,52,99.29
true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_052_104,52,2022-06-13,2023-06-05,trend_aware_hybrid,5784.78,5200.0,5200.0,-0.0,11.25,11.25,11.25,8.87,124.08,3.892,1.268,52,99.9
