ticker,date,close,weekly_return,momentum_4w,momentum_12w,volatility_12w,drawdown_from_52w_high,sma_10,sma_20,rsi_14,macd,macd_signal,macd_histogram
BYDDY,2023-05-01,10.066667,-0.00412195,0.0376224,-0.00395778,0.05692655,0.26778999,9.4376668,9.4745001,55.07027297,0.09315676,-0.01243109,0.10558786
BYDDY,2023-05-08,10.236667,0.01688742,0.07565674,0.04830179,0.05596799,0.25542486,9.4951668,9.5780001,56.39673898,0.13783545,0.01762221,0.12021323
BYDDY,2023-05-15,10.41,0.01693256,0.10061678,0.12479741,0.05297593,0.24281729,9.6810001,9.6890001,57.7658636,0.18509648,0.05111707,0.13397941
BYDDY,2023-05-22,9.92,-0.04707012,-0.01863146,0.02673793,0.0543527,0.27845798,9.8146668,9.7475001,52.72568687,0.18092667,0.07707899,0.10384768
BYDDY,2023-05-29,10.541667,0.06266804,0.04718543,0.23270317,0.04191843,0.23324035,9.9766668,9.78208345,57.76108346,0.22518955,0.1067011,0.11848845
BYDDY,2023-06-05,10.718333,0.01675883,0.04705301,0.24873787,0.04167187,0.22039036,10.0678334,9.83241675,59.09451239,0.2713952,0.13963992,0.13175528
BYDDY,2023-06-12,11.421667,0.06561972,0.09718223,0.28021669,0.0434609,0.16923259,10.2398334,9.87433345,63.97095556,0.3606098,0.1838339,0.1767759
BYDDY,2023-06-19,10.79,-0.05530427,0.08770161,0.10027189,0.04122413,0.21517758,10.3671667,9.87708345,57.35757336,0.37600838,0.22226879,0.15373958
BYDDY,2023-06-26,10.691667,-0.00911335,0.01422925,0.10204432,0.04115821,0.22232994,10.4905001,9.90633345,56.38041525,0.37594356,0.25300375,0.12293982
BYDDY,2023-07-03,11.078333,0.03616517,0.03358731,0.164098,0.04083343,0.11667779,10.5875001,9.9720001,59.31552387,0.40245368,0.28289373,0.11955994
BYDDY,2023-07-10,11.523333,0.0401685,0.00890115,0.218326,0.0409969,0.05970355,10.7331667,10.08541675,62.44731209,0.45413592,0.31714217,0.13699375
BYDDY,2023-07-17,11.331667,-0.01663286,0.05020083,0.12102233,0.03861039,0.07534337,10.8426667,10.16891675,60.29447615,0.47416277,0.34854629,0.12561648
BYDDY,2023-07-24,11.755,0.0373584,0.09945437,0.16771519,0.03906127,0.04079967,10.9771667,10.3290834,63.30361481,0.51821991,0.38248101,0.1357389
BYDDY,2023-07-31,11.38,-0.03190132,0.02723036,0.11168997,0.04118128,0.06861272,11.1231667,10.46891675,59.03547938,0.51691745,0.4093683,0.10754915
BYDDY,2023-08-07,10.675,-0.06195079,-0.07361872,0.02545629,0.04593274,0.0918758,11.1365,10.5565834,51.94470742,0.45376688,0.41824802,0.03551887
BYDDY,2023-08-14,9.375,-0.12177986,-0.17267248,-0.05493952,0.05706088,0.20246704,11.0021667,10.53500005,41.94105314,0.29541511,0.39368144,-0.09826633
BYDDY,2023-08-21,9.608333,0.02488885,-0.18261735,-0.08853761,0.05406201,0.18261735,10.8208333,10.53033335,44.02473321,0.18659723,0.35226459,-0.16566736
BYDDY,2023-08-28,10.671667,0.1106679,-0.06224367,-0.00435385,0.06365139,0.09215934,10.809,10.58808335,52.4073562,0.18403896,0.31861947,-0.1345805
BYDDY,2023-09-04,10.348333,-0.03029836,-0.03060112,-0.0939735,0.06082955,0.11966542,10.7746666,10.63258335,49.95744503,0.15414429,0.28572443,-0.13158015
