date,strategy,ticker,price,weekly_return,buy_multiplier,desired_amount,submitted_amount,submitted_size,cash_before_order
2022-02-21,fixed_weekly_dca,BYDDY,10.251667,-0.00758306,1.0,100.0,100.0,9.75451114,6471.851844
2022-02-28,fixed_weekly_dca,BYDDY,8.94,-0.1279467,0.5,50.0,50.0,5.59284116,6384.559309
2022-03-07,fixed_weekly_dca,BYDDY,7.908333,-0.11539899,0.5,50.0,50.0,6.32244495,6340.285029
2022-03-14,fixed_weekly_dca,BYDDY,9.463333,0.19662804,1.0,100.0,100.0,10.56710146,6290.210004
2022-03-21,fixed_weekly_dca,BYDDY,9.098333,-0.03856992,0.5,50.0,50.0,5.4955122,6193.970853
2022-03-28,fixed_weekly_dca,BYDDY,9.633333,0.05880198,1.0,100.0,100.0,10.3806232,6143.895828
2022-04-04,fixed_weekly_dca,BYDDY,10.015,0.03961941,1.0,100.0,100.0,9.98502247,6043.745778
2022-04-11,fixed_weekly_dca,BYDDY,9.966667,-0.00482606,1.0,100.0,100.0,10.03344448,5944.128866
2022-04-18,fixed_weekly_dca,BYDDY,9.685,-0.0282609,1.0,100.0,100.0,10.32524522,5846.857783
2022-04-25,fixed_weekly_dca,BYDDY,9.655,-0.00309757,1.0,100.0,100.0,10.35732781,5747.06785
2022-05-02,fixed_weekly_dca,BYDDY,9.526667,-0.01329187,1.0,100.0,100.0,10.49685058,5648.298366
2022-05-09,fixed_weekly_dca,BYDDY,10.13,0.06333096,1.0,100.0,100.0,9.87166831,5548.148316
2022-05-16,fixed_weekly_dca,BYDDY,11.096667,0.09542616,1.0,100.0,100.0,9.01171496,5447.998266
2022-05-23,fixed_weekly_dca,BYDDY,11.605,0.04580952,1.0,100.0,100.0,8.61697544,5347.848216
2022-05-30,fixed_weekly_dca,BYDDY,12.183333,0.04983481,1.0,100.0,100.0,8.20793456,5247.698166
2022-06-06,fixed_weekly_dca,BYDDY,13.046667,0.07086189,1.0,100.0,100.0,7.66479285,5147.548116
2022-06-13,fixed_weekly_dca,BYDDY,12.43,-0.04726625,1.0,100.0,100.0,8.04505229,5052.179467
2022-06-20,fixed_weekly_dca,BYDDY,13.15,0.05792438,1.0,100.0,100.0,7.60456274,4952.029417
2022-06-27,fixed_weekly_dca,BYDDY,13.286667,0.01039293,1.0,100.0,100.0,7.52634201,4851.879367
2022-07-04,fixed_weekly_dca,BYDDY,13.748333,0.03474656,1.0,100.0,100.0,7.2736091,4751.729317
