task,target,model,importance_type,feature,value
classification,forward_12w_positive,logistic_regression,coefficient,categorical__ticker_AAPL,0.0013867463
classification,forward_12w_positive,logistic_regression,coefficient,categorical__ticker_ASML,-0.3170350297
classification,forward_12w_positive,logistic_regression,coefficient,categorical__ticker_BYDDY,-0.1126362903
classification,forward_12w_positive,logistic_regression,coefficient,categorical__ticker_KO,-0.2795465847
classification,forward_12w_positive,logistic_regression,coefficient,categorical__ticker_MSFT,0.0909857508
classification,forward_12w_positive,logistic_regression,coefficient,categorical__ticker_NVDA,0.6281824618
classification,forward_12w_positive,random_forest_classifier,feature_importance,numeric__weekly_return,0.0386615471
classification,forward_12w_positive,random_forest_classifier,feature_importance,numeric__momentum_4w,0.0717543212
classification,forward_12w_positive,random_forest_classifier,feature_importance,numeric__momentum_12w,0.1080449209
classification,forward_12w_positive,random_forest_classifier,feature_importance,numeric__volatility_12w,0.1382451108
classification,forward_12w_positive,random_forest_classifier,feature_importance,numeric__drawdown_from_52w_high,0.0774007157
classification,forward_12w_positive,random_forest_classifier,feature_importance,numeric__sma_10_distance,0.075079742
classification,forward_12w_positive,random_forest_classifier,feature_importance,numeric__sma_20_distance,0.1019981497
classification,forward_12w_positive,random_forest_classifier,feature_importance,numeric__rsi_14,0.1147507592
classification,forward_12w_positive,random_forest_classifier,feature_importance,numeric__macd,0.1982479991
classification,forward_12w_positive,random_forest_classifier,feature_importance,categorical__ticker_AAPL,0.0053766842
classification,forward_12w_positive,random_forest_classifier,feature_importance,categorical__ticker_ASML,0.0120374325
classification,forward_12w_positive,random_forest_classifier,feature_importance,categorical__ticker_BYDDY,0.0058566318
classification,forward_12w_positive,random_forest_classifier,feature_importance,categorical__ticker_KO,0.0119167611
classification,forward_12w_positive,random_forest_classifier,feature_importance,categorical__ticker_MSFT,0.004774501
classification,forward_12w_positive,random_forest_classifier,feature_importance,categorical__ticker_NVDA,0.0358547237
