group,factor,horizon,ic_periods,sample_count,average_group_n,mean_coverage,mean_rank_ic,median_rank_ic,positive_rank_ic_rate,mean_pearson_corr,overall_mean_rank_ic,direction_vs_overall
core_technology,sma_20_distance,12w,567,3402,6.0,1.0,0.09397833,0.08571429,0.57319224,0.12620569,0.04280623,same_direction_stronger
semiconductors,sma_20_distance,12w,567,3969,7.0,1.0,0.04711514,0.03571429,0.50088183,0.0530055,0.04280623,same_direction_stronger
industrial_diversified,sma_20_distance,12w,567,2268,4.0,1.0,0.02469136,0.0,0.48500882,0.04204292,0.04280623,same_direction_weaker
international,sma_20_distance,12w,567,2268,4.0,1.0,0.02010582,0.0,0.47971781,0.01166187,0.04280623,same_direction_weaker
defensive_healthcare,sma_20_distance,12w,567,3402,6.0,1.0,-0.01476442,-0.02857143,0.47089947,-0.01824792,0.04280623,reversed
financial_payments,sma_20_distance,12w,567,2835,5.0,1.0,-0.01887125,0.0,0.47795414,-0.00295993,0.04280623,reversed
consumer_retail,sma_20_distance,12w,567,3402,6.0,1.0,-0.02776518,-0.08571429,0.45679012,-0.04800243,0.04280623,reversed
international,sma_20_distance,1w,578,2312,4.0,1.0,0.02179931,0.0,0.48788927,0.02611986,0.01160125,same_direction_stronger
semiconductors,sma_20_distance,1w,578,4046,7.0,1.0,0.01272862,0.0,0.49480969,-0.00115547,0.01160125,same_direction_stronger
core_technology,sma_20_distance,1w,578,3468,6.0,1.0,0.00998517,0.02857143,0.5017301,0.02257572,0.01160125,same_direction_weaker
financial_payments,sma_20_distance,1w,578,2890,5.0,1.0,0.00916955,0.1,0.50519031,0.00041944,0.01160125,same_direction_weaker
industrial_diversified,sma_20_distance,1w,578,2312,4.0,1.0,-0.00380623,0.0,0.44290657,0.01218982,0.01160125,reversed
consumer_retail,sma_20_distance,1w,578,3468,6.0,1.0,-0.01621354,0.02857143,0.50519031,-0.01633335,0.01160125,reversed
defensive_healthcare,sma_20_distance,1w,578,3468,6.0,1.0,-0.03321799,-0.08571429,0.46193772,-0.04073942,0.01160125,reversed
core_technology,sma_20_distance,4w,575,3450,6.0,1.0,0.06086957,0.08571429,0.5426087,0.07156873,0.03343958,same_direction_stronger
industrial_diversified,sma_20_distance,4w,575,2300,4.0,1.0,0.04591304,0.2,0.50434783,0.0630307,0.03343958,same_direction_stronger
semiconductors,sma_20_distance,4w,575,4025,7.0,1.0,0.03223602,0.03571429,0.5026087,0.01806361,0.03343958,same_direction_weaker
international,sma_20_distance,4w,575,2300,4.0,1.0,0.02643478,0.0,0.46086957,0.01611735,0.03343958,same_direction_weaker
consumer_retail,sma_20_distance,4w,575,3450,6.0,1.0,0.0042236,0.02857143,0.5026087,0.00738924,0.03343958,same_direction_weaker
financial_payments,sma_20_distance,4w,575,2875,5.0,1.0,0.00226087,0.0,0.48869565,0.00578288,0.03343958,same_direction_weaker
defensive_healthcare,sma_20_distance,4w,575,3450,6.0,1.0,-0.04119255,-0.02857143,0.46086957,-0.04034586,0.03343958,reversed
core_technology,volatility_12w,12w,574,3444,6.0,1.0,0.18367347,0.2,0.65505226,0.2378358,0.07685093,same_direction_stronger
semiconductors,volatility_12w,12w,574,4018,7.0,1.0,0.09177451,0.07142857,0.54006969,0.11575372,0.07685093,same_direction_stronger
industrial_diversified,volatility_12w,12w,574,2296,4.0,1.0,0.08188153,0.2,0.5174216,0.08658658,0.07685093,same_direction_stronger
financial_payments,volatility_12w,12w,574,2870,5.0,1.0,0.05923345,0.1,0.51567944,0.05805664,0.07685093,same_direction_weaker
defensive_healthcare,volatility_12w,12w,574,3444,6.0,1.0,0.02777501,0.08571429,0.55052265,0.05942247,0.07685093,same_direction_weaker
international,volatility_12w,12w,574,2296,4.0,1.0,0.00313589,0.0,0.48432056,0.00855568,0.07685093,same_direction_weaker
consumer_retail,volatility_12w,12w,574,3444,6.0,1.0,-0.08491787,-0.08571429,0.41811847,-0.08201502,0.07685093,reversed
core_technology,volatility_12w,1w,585,3510,6.0,1.0,0.02495726,0.02857143,0.52820513,0.04473426,0.02025274,same_direction_stronger
semiconductors,volatility_12w,1w,585,4095,7.0,1.0,0.02234432,0.03571429,0.50598291,0.02411456,0.02025274,same_direction_stronger
industrial_diversified,volatility_12w,1w,585,2340,4.0,1.0,0.02222222,0.0,0.46837607,0.02556755,0.02025274,same_direction_stronger
defensive_healthcare,volatility_12w,1w,585,3510,6.0,1.0,-0.0041514,-0.02857143,0.48547009,0.0229424,0.02025274,reversed
financial_payments,volatility_12w,1w,585,2925,5.0,1.0,-0.01042735,0.0,0.47350427,-0.0024325,0.02025274,reversed
international,volatility_12w,1w,585,2340,4.0,1.0,-0.01128205,0.0,0.44957265,-0.01016391,0.02025274,reversed
consumer_retail,volatility_12w,1w,585,3510,6.0,1.0,-0.02251526,-0.02857143,0.47008547,-0.01279707,0.02025274,reversed
core_technology,volatility_12w,4w,582,3492,6.0,1.0,0.11408935,0.14285714,0.61683849,0.13108624,0.04424703,same_direction_stronger
semiconductors,volatility_12w,4w,582,4074,7.0,1.0,0.06467845,0.07142857,0.55670103,0.07829302,0.04424703,same_direction_stronger
industrial_diversified,volatility_12w,4w,582,2328,4.0,1.0,0.05395189,0.2,0.50171821,0.04561581,0.04424703,same_direction_stronger
financial_payments,volatility_12w,4w,582,2910,5.0,1.0,0.03505155,0.1,0.51030928,0.02512689,0.04424703,same_direction_weaker
defensive_healthcare,volatility_12w,4w,582,3492,6.0,1.0,0.02140403,0.02857143,0.53092784,0.0581396,0.04424703,same_direction_weaker
international,volatility_12w,4w,582,2328,4.0,1.0,-0.02061856,0.0,0.46563574,-0.01380294,0.04424703,reversed
consumer_retail,volatility_12w,4w,582,3492,6.0,1.0,-0.03632793,-0.08571429,0.46563574,-0.04257253,0.04424703,reversed
international,weekly_return,12w,585,2340,4.0,1.0,0.03282051,0.0,0.48205128,0.01696158,0.00448542,same_direction_stronger
core_technology,weekly_return,12w,585,3510,6.0,1.0,0.02046398,0.08571429,0.53504274,0.02152946,0.00448542,same_direction_stronger
industrial_diversified,weekly_return,12w,585,2340,4.0,1.0,0.01264957,0.0,0.47692308,0.02953987,0.00448542,same_direction_stronger
financial_payments,weekly_return,12w,585,2925,5.0,1.0,0.00700855,0.0,0.47863248,-0.00129038,0.00448542,same_direction_stronger
consumer_retail,weekly_return,12w,585,3510,6.0,1.0,0.00424908,-0.02857143,0.4991453,-0.00149199,0.00448542,same_direction_weaker
semiconductors,weekly_return,12w,585,4095,7.0,1.0,-0.01184371,-0.03571429,0.47179487,0.00011422,0.00448542,reversed
defensive_healthcare,weekly_return,12w,585,3510,6.0,1.0,-0.04429792,-0.08571429,0.46324786,-0.03934733,0.00448542,reversed
industrial_diversified,weekly_return,1w,596,2384,4.0,1.0,-0.00805369,0.0,0.45805369,-0.02193521,-0.02003089,same_direction_weaker
semiconductors,weekly_return,1w,596,4172,7.0,1.0,-0.01438159,0.0,0.47986577,-0.01923154,-0.02003089,same_direction_weaker
defensive_healthcare,weekly_return,1w,596,3576,6.0,1.0,-0.02550336,-0.02857143,0.46812081,-0.03533846,-0.02003089,same_direction_stronger
core_technology,weekly_return,1w,596,3576,6.0,1.0,-0.03058485,-0.08571429,0.4614094,-0.02692095,-0.02003089,same_direction_stronger
financial_payments,weekly_return,1w,596,2980,5.0,1.0,-0.03305369,-0.05,0.46812081,-0.0339962,-0.02003089,same_direction_stronger
international,weekly_return,1w,596,2384,4.0,1.0,-0.03993289,0.0,0.43959732,-0.049167,-0.02003089,same_direction_stronger
consumer_retail,weekly_return,1w,596,3576,6.0,1.0,-0.07871524,-0.08571429,0.43791946,-0.0735094,-0.02003089,same_direction_stronger
international,weekly_return,4w,593,2372,4.0,1.0,0.03507589,0.0,0.48229342,0.01192075,-0.00337454,reversed
industrial_diversified,weekly_return,4w,593,2372,4.0,1.0,0.00438449,0.0,0.46374368,0.00662199,-0.00337454,reversed
consumer_retail,weekly_return,4w,593,3558,6.0,1.0,-0.00852807,-0.02857143,0.49409781,-0.00398733,-0.00337454,same_direction_stronger
semiconductors,weekly_return,4w,593,4151,7.0,1.0,-0.00855216,-0.03571429,0.46711636,-0.02110663,-0.00337454,same_direction_stronger
core_technology,weekly_return,4w,593,3558,6.0,1.0,-0.01334618,-0.02857143,0.47554806,-0.00585503,-0.00337454,same_direction_stronger
defensive_healthcare,weekly_return,4w,593,3558,6.0,1.0,-0.03483498,-0.02857143,0.46037099,-0.02052309,-0.00337454,same_direction_stronger
financial_payments,weekly_return,4w,593,2965,5.0,1.0,-0.03608769,-0.1,0.45362563,-0.03974649,-0.00337454,same_direction_stronger
