strategy,symbol,signal_date,execution_date,status,execution_price,gross_invested,commission,slippage_cost,base,extra,crash
dca_l2_v2,KO,2021-08-23,2021-08-24,executed,48.87688523,3.0,0.0,0.0,3.0,0.0,0.0
fixed,BYDDY,2021-08-30,2021-08-31,executed,10.75925894,24.0,0.02,0.01,18.0,0.0,6.0
reserve_fixed,BYDDY,2021-08-30,2021-08-31,executed,10.75925894,18.0,0.02,0.01,18.0,0.0,0.0
fixed,MSFT,2021-08-30,2021-08-31,executed,292.85654309,17.6,0.02,0.01,13.2,0.0,4.4
reserve_fixed,MSFT,2021-08-30,2021-08-31,executed,292.85654309,13.2,0.01,0.01,13.2,0.0,0.0
fixed,NVDA,2021-08-30,2021-08-31,executed,22.63207138,14.4,0.01,0.01,10.8,0.0,3.6
reserve_fixed,NVDA,2021-08-30,2021-08-31,executed,22.63207138,10.8,0.01,0.01,10.8,0.0,0.0
fixed,AAPL,2021-08-30,2021-08-31,executed,149.1031103,12.0,0.01,0.01,9.0,0.0,3.0
reserve_fixed,AAPL,2021-08-30,2021-08-31,executed,149.1031103,9.0,0.01,0.0,9.0,0.0,0.0
fixed,ASML,2021-08-30,2021-08-31,executed,805.4371173,8.0,0.01,0.0,6.0,0.0,2.0
reserve_fixed,ASML,2021-08-30,2021-08-31,executed,805.4371173,6.0,0.01,0.0,6.0,0.0,0.0
fixed,KO,2021-08-30,2021-08-31,executed,48.46268223,3.6,0.0,0.0,3.0,0.0,1.0
reserve_fixed,KO,2021-08-30,2021-08-31,executed,48.46268223,3.0,0.0,0.0,3.0,0.0,0.0
dca_l2_v2,BYDDY,2021-08-30,2021-08-31,executed,10.75925894,17.32,0.02,0.01,17.32,0.0,0.0
dca_l2_v2,MSFT,2021-08-30,2021-08-31,executed,292.85654309,12.7,0.01,0.01,12.7,0.0,0.0
dca_l2_v2,NVDA,2021-08-30,2021-08-31,executed,22.63207138,10.39,0.01,0.01,10.39,0.0,0.0
dca_l2_v2,AAPL,2021-08-30,2021-08-31,executed,149.1031103,8.66,0.01,0.0,8.66,0.0,0.0
dca_l2_v2,ASML,2021-08-30,2021-08-31,executed,805.4371173,5.77,0.01,0.0,5.77,0.0,0.0
dca_l2_v2,KO,2021-08-30,2021-08-31,executed,48.46268223,2.89,0.0,0.0,2.89,0.0,0.0
fixed,BYDDY,2021-09-03,2021-09-07,executed,11.20662351,30.0,0.03,0.01,22.5,0.0,7.5
