strategy,symbol,signal_date,execution_date,state,base_amount,extra_amount,crash_fund_amount,final_amount,reason_codes,planned_normal,planned_crash,total_planned,unallocated_cash
dca_l2_v2,ASML,2021-10-25,2021-10-26,medium_drawdown,7.5,1.06,0.0,8.56,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,KO,2021-10-25,2021-10-26,normal,3.75,0.0,0.0,3.75,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-10-25,2021-10-26,,,,,,,76.1,0.0,76.1,211.37
dca_l2_v2,BYDDY,2021-11-01,2021-11-02,small_drawdown,18.0,0.68,0.0,18.68,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,MSFT,2021-11-01,2021-11-02,normal,13.2,0.0,0.0,13.2,[],,,,
dca_l2_v2,NVDA,2021-11-01,2021-11-02,normal,10.8,0.0,0.0,10.8,[],,,,
dca_l2_v2,AAPL,2021-11-01,2021-11-02,normal,9.0,0.0,0.0,9.0,[],,,,
dca_l2_v2,ASML,2021-11-01,2021-11-02,small_drawdown,6.0,0.63,0.0,6.63,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,KO,2021-11-01,2021-11-02,normal,3.0,0.0,0.0,3.0,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-11-01,2021-11-02,,,,,,,61.31,0.0,61.31,338.69
dca_l2_v2,BYDDY,2021-11-08,2021-11-09,normal,18.0,0.0,0.0,18.0,[],,,,
dca_l2_v2,MSFT,2021-11-08,2021-11-09,normal,13.2,0.0,0.0,13.2,[],,,,
dca_l2_v2,NVDA,2021-11-08,2021-11-09,normal,10.8,0.0,0.0,10.8,[],,,,
dca_l2_v2,AAPL,2021-11-08,2021-11-09,normal,9.0,0.0,0.0,9.0,[],,,,
dca_l2_v2,ASML,2021-11-08,2021-11-09,normal,6.0,0.0,0.0,6.0,[],,,,
dca_l2_v2,KO,2021-11-08,2021-11-09,normal,3.0,0.0,0.0,3.0,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-11-08,2021-11-09,,,,,,,60.0,0.0,60.0,278.69
dca_l2_v2,BYDDY,2021-11-15,2021-11-16,small_drawdown,18.0,0.64,0.0,18.64,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,MSFT,2021-11-15,2021-11-16,normal,13.2,0.0,0.0,13.2,[],,,,
