task,target,model,importance_type,feature,value
regression,forward_4w_return,ridge,coefficient,categorical__ticker_MU,-0.0058239294
regression,forward_4w_return,ridge,coefficient,categorical__ticker_NKE,-0.0060920481
regression,forward_4w_return,ridge,coefficient,categorical__ticker_NVDA,0.0306929692
regression,forward_4w_return,ridge,coefficient,categorical__ticker_PEP,-0.003957821
regression,forward_4w_return,ridge,coefficient,categorical__ticker_PG,-0.0041415486
regression,forward_4w_return,ridge,coefficient,categorical__ticker_QCOM,-0.0055833536
regression,forward_4w_return,ridge,coefficient,categorical__ticker_SBUX,-0.005199605
regression,forward_4w_return,ridge,coefficient,categorical__ticker_TCEHY,-0.0070391599
regression,forward_4w_return,ridge,coefficient,categorical__ticker_TM,-0.0050105101
regression,forward_4w_return,ridge,coefficient,categorical__ticker_TSM,0.0036568436
regression,forward_4w_return,ridge,coefficient,categorical__ticker_UNH,0.0027592625
regression,forward_4w_return,ridge,coefficient,categorical__ticker_V,0.0020908372
regression,forward_4w_return,ridge,coefficient,categorical__ticker_WMT,-0.0042514327
regression,forward_4w_return,random_forest_regressor,feature_importance,numeric__weekly_return,0.0592244496
regression,forward_4w_return,random_forest_regressor,feature_importance,numeric__momentum_4w,0.0829381176
regression,forward_4w_return,random_forest_regressor,feature_importance,numeric__momentum_12w,0.1136799327
regression,forward_4w_return,random_forest_regressor,feature_importance,numeric__volatility_12w,0.1807094061
regression,forward_4w_return,random_forest_regressor,feature_importance,numeric__drawdown_from_52w_high,0.0464854936
regression,forward_4w_return,random_forest_regressor,feature_importance,numeric__sma_10_distance,0.0676954925
regression,forward_4w_return,random_forest_regressor,feature_importance,numeric__sma_20_distance,0.1650943694
regression,forward_4w_return,random_forest_regressor,feature_importance,numeric__rsi_14,0.0404280999
regression,forward_4w_return,random_forest_regressor,feature_importance,numeric__macd,0.1075167804
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_AAPL,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_AMD,0.0252504954
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_AMZN,0.0006336595
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_ASML,0.000915995
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_AVGO,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_AXP,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_BABA,0.0034481675
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_BAC,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_BYDDY,0.0026656541
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_CAT,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_COST,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_DE,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_GE,0.0030101369
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_GOOGL,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_HD,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_HON,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_INTC,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_JNJ,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_JPM,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_KO,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_MA,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_MCD,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_META,0.0003849353
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_MRK,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_MSFT,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_MU,0.0029449751
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_NKE,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_NVDA,0.0969738393
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_PEP,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_PG,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_QCOM,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_SBUX,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_TCEHY,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_TM,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_TSM,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_UNH,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_V,0.0
regression,forward_4w_return,random_forest_regressor,feature_importance,categorical__ticker_WMT,0.0
regression,forward_12w_return,ridge,coefficient,numeric__weekly_return,-0.0013978797
regression,forward_12w_return,ridge,coefficient,numeric__momentum_4w,-0.0016720192
regression,forward_12w_return,ridge,coefficient,numeric__momentum_12w,0.0038180955
regression,forward_12w_return,ridge,coefficient,numeric__volatility_12w,0.0181549828
regression,forward_12w_return,ridge,coefficient,numeric__drawdown_from_52w_high,0.0026436769
regression,forward_12w_return,ridge,coefficient,numeric__sma_10_distance,-0.013708949
regression,forward_12w_return,ridge,coefficient,numeric__sma_20_distance,0.013483416
regression,forward_12w_return,ridge,coefficient,numeric__rsi_14,-0.0002530244
regression,forward_12w_return,ridge,coefficient,numeric__macd,-0.0028703284
regression,forward_12w_return,ridge,coefficient,categorical__ticker_AAPL,0.0116129056
regression,forward_12w_return,ridge,coefficient,categorical__ticker_AMD,0.0589767103
regression,forward_12w_return,ridge,coefficient,categorical__ticker_AMZN,0.0238309083
regression,forward_12w_return,ridge,coefficient,categorical__ticker_ASML,0.0187064319
regression,forward_12w_return,ridge,coefficient,categorical__ticker_AVGO,0.0215400375
